trial,state,micro_f1,train_seconds,gen_seconds,disk_mb,last_eval_loss,last_eval_loss_before_prune,epochs,learning_rate,warmup_ratio,weight_decay,grad_accum,lora_r,lora_alpha,lora_dropout,patience,per_device_train_batch_size,per_device_eval_batch_size
0,COMPLETED,0.1461,7044.4,46.69,102.74,0.9194709062576294,,5,0.00011667193639377455,0.1347918662996514,0.0166205347788142,16,8,16,0.0023339566431753943,3,1,1
1,COMPLETED,0.1445,4254.6,57.25,360.74,0.8532891869544983,,3,0.000464396334064102,0.10393879303313232,0.062478628446014574,32,32,32,0.03262559888627219,1,1,1
2,COMPLETED,0.1977,8502.5,57.15,102.74,0.9436029195785522,,6,0.0002290681911216664,0.043458296778794626,0.06716149236701771,16,8,32,0.14668849102924744,2,1,1
3,COMPLETED,0.1268,4237.2,57.07,102.74,1.0637145042419434,,3,6.161711172535736e-05,0.1519529643862917,0.050125698656151324,32,8,32,0.06253126111736695,2,1,1
4,COMPLETED,0.1717,2835.9,59.17,102.74,0.9124118089675903,,2,0.00039341380953367144,0.01012979197880335,0.06679351438883922,32,8,32,0.16085340460154451,3,1,1
5,COMPLETED,0.129,4235.1,57.04,102.74,0.9712408185005188,,3,7.618232695326719e-05,0.06404181563162668,0.011224227839172131,32,8,64,0.0977423339225269,2,1,1
6,COMPLETED,0.1593,7092.9,60.31,102.74,0.9224055409431458,,5,7.385972386716387e-05,0.021285105320063405,0.09942069697434297,16,8,32,0.0173982461473454,2,1,1
7,PRUNED,,,,,0.9847127199172974,0.9847127199172974,2,0.0002771693481996955,0.01626734061184081,0.03811467797134981,16,8,64,0.09282971903951343,3,1,1
8,COMPLETED,0.1042,4240.1,57.05,102.74,1.1159708499908447,,3,6.707742954577743e-05,0.12749913527982776,0.03796562783014171,32,8,16,0.1269860490763376,3,1,1
9,PRUNED,,,,,1.1057446002960205,1.1057446002960205,2,0.0003718952204322719,0.004668821512939703,0.04860108427490223,32,16,16,0.012338000772038171,3,1,1
10,PRUNED,,,,,1.057524561882019,1.057524561882019,6,0.0001962731520764903,0.06380271164940503,0.09560746517696553,8,16,32,0.1995283650659492,1,1,1
11,PRUNED,,,,,1.0299314260482788,1.0299314260482788,6,0.00027070018839077826,0.053215460381813524,0.07469417188492275,8,32,32,0.16033282295992146,2,1,1
12,COMPLETED,0.1864,5676.6,61.01,102.74,0.8850879073143005,,4,0.0001576969043762452,0.1959773245637319,0.07240825195266087,16,8,32,0.15227218193018327,2,1,1
13,PRUNED,,,,,1.1529269218444824,1.1529269218444824,4,0.00014279023193022693,0.18681673937168392,0.08284594756483295,16,16,32,0.13956939689953737,2,1,1
14,COMPLETED,0.1798,7105.4,57.32,102.74,0.8861307501792908,,5,0.00017983147236818778,0.19709998692360398,0.08184691219040692,16,8,32,0.16773003725403068,1,1,1
