Top-50 ICD-9 codes by frequency:

Rank	Code	Frequency
------------------------------
1	401.9	22407
2	272.4	15992
3	414.01	10693
4	530.81	10204
5	427.31	9572
6	250.00	9021
7	428.0	8621
8	V15.82	7921
9	584.9	7279
10	311	6014
11	244.9	5930
12	285.9	5860
13	305.1	5711
14	403.90	5025
15	V58.61	4857
16	599.0	4828
17	285.1	4254
18	272.0	4247
19	300.00	4092
20	327.23	4016
21	V58.67	3913
22	585.9	3798
23	518.81	3734
24	496	3673
25	V45.82	3641
26	493.90	3594
27	278.00	3545
28	276.1	3538
29	412	3513
30	276.2	3307
31	486	3025
32	V58.66	2863
33	287.5	2837
34	V45.81	2825
35	E84.97	2696
36	V49.86	2682
37	274.9	2537
38	427.89	2519
39	995.92	2465
40	733.00	2381
41	424.1	2314
42	585.6	2241
43	600.00	2187
44	V12.54	2184
45	511.9	2172
46	E87.98	2153
47	416.8	2141
48	E87.88	2121
49	V12.51	2070
50	458.29	2027
